media_url,storage_key,alt_text,media_type,mime_type,file_size,bucket_name
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chau/gallery-02.webp,product-lines/ao-quy-chau/gallery-02.webp,Áo Quý Châu - ảnh 2,IMAGE,image/webp,98656,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chau/gallery-03.webp,product-lines/ao-quy-chau/gallery-03.webp,Áo Quý Châu - ảnh 3,IMAGE,image/webp,103160,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-kim/main.webp,product-lines/ao-quy-kim/main.webp,Áo Quý Kim - ảnh chính,IMAGE,image/webp,107134,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-kim/gallery-01.webp,product-lines/ao-quy-kim/gallery-01.webp,Áo Quý Kim - ảnh 1,IMAGE,image/webp,107134,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-kim/gallery-02.webp,product-lines/ao-quy-kim/gallery-02.webp,Áo Quý Kim - ảnh 2,IMAGE,image/webp,113732,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-kim/gallery-03.webp,product-lines/ao-quy-kim/gallery-03.webp,Áo Quý Kim - ảnh 3,IMAGE,image/webp,122332,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-kim/gallery-04.webp,product-lines/ao-quy-kim/gallery-04.webp,Áo Quý Kim - ảnh 4,IMAGE,image/webp,104290,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-kim/gallery-05.webp,product-lines/ao-quy-kim/gallery-05.webp,Áo Quý Kim - ảnh 5,IMAGE,image/webp,117122,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-sa/main.webp,product-lines/ao-quy-sa/main.webp,Áo Quý Sa - ảnh chính,IMAGE,image/webp,101052,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-sa/gallery-01.webp,product-lines/ao-quy-sa/gallery-01.webp,Áo Quý Sa - ảnh 1,IMAGE,image/webp,101052,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-sa/gallery-02.webp,product-lines/ao-quy-sa/gallery-02.webp,Áo Quý Sa - ảnh 2,IMAGE,image/webp,104828,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-sa/gallery-03.webp,product-lines/ao-quy-sa/gallery-03.webp,Áo Quý Sa - ảnh 3,IMAGE,image/webp,109562,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-sa/gallery-04.webp,product-lines/ao-quy-sa/gallery-04.webp,Áo Quý Sa - ảnh 4,IMAGE,image/webp,93368,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-sa/gallery-05.webp,product-lines/ao-quy-sa/gallery-05.webp,Áo Quý Sa - ảnh 5,IMAGE,image/webp,115854,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chieu/main.webp,product-lines/ao-quy-chieu/main.webp,Áo Quý Chiêu - ảnh chính,IMAGE,image/webp,96108,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chieu/gallery-01.webp,product-lines/ao-quy-chieu/gallery-01.webp,Áo Quý Chiêu - ảnh 1,IMAGE,image/webp,96108,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chieu/gallery-02.webp,product-lines/ao-quy-chieu/gallery-02.webp,Áo Quý Chiêu - ảnh 2,IMAGE,image/webp,123452,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chieu/gallery-03.webp,product-lines/ao-quy-chieu/gallery-03.webp,Áo Quý Chiêu - ảnh 3,IMAGE,image/webp,90736,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chieu/gallery-04.webp,product-lines/ao-quy-chieu/gallery-04.webp,Áo Quý Chiêu - ảnh 4,IMAGE,image/webp,105286,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-chieu/gallery-05.webp,product-lines/ao-quy-chieu/gallery-05.webp,Áo Quý Chiêu - ảnh 5,IMAGE,image/webp,115854,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-nhu/main.webp,product-lines/ao-quy-nhu/main.webp,Áo Quý Như - ảnh chính,IMAGE,image/webp,103050,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-nhu/gallery-01.webp,product-lines/ao-quy-nhu/gallery-01.webp,Áo Quý Như - ảnh 1,IMAGE,image/webp,103050,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-nhu/gallery-02.webp,product-lines/ao-quy-nhu/gallery-02.webp,Áo Quý Như - ảnh 2,IMAGE,image/webp,104992,product-media
https://gclmqevfccjlqnldfmwq.supabase.co/storage/v1/object/public/product-media/product-lines/ao-quy-nhu/gallery-03.webp,product-lines/ao-quy-nhu/gallery-03.webp,Áo Quý Như - ảnh 3,IMAGE,image/webp,105294,product-media
